Prompt,Prompt_Type,Prompt_Length,HCI_Application
Navigate to the nearest hospital,Declarative,32,Location Services UI
Teach me the solar system,Declarative,25,Educational Bot
Create a chart showing population growth,Declarative,40,Graph Generation
Create a chart showing temperature changes,Declarative,42,Graph Generation
Visualize user growth as bar,Declarative,28,Graph Generation
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
How does photosynthesis work,Interrogative,28,Educational Bot
Tell me something,Declarative,17,Conversational UI
Suggest something,Declarative,17,Chatbot Interface
What is machine learning,Interrogative,24,Educational Bot
Correct this CSS code: if x = 10: print('hi'),Declarative,45,Code Rectification
Show me Central Park,Imperative,20,Location Services UI
How does gravity work,Interrogative,21,Educational Bot
plot a graph for population growth,Declarative,34,Graph Generation
How does electricity work,Interrogative,25,Educational Bot
What is evolution,Interrogative,17,Educational Bot
Show me Paris,Imperative,13,Location Services UI
Please Find the result of 80 add 8,Declarative,34,Voice Calculator
What do you think about hobbies,Interrogative,31,Chatbot Interface
What is 64 divided by 48,Interrogative,24,Voice Calculator
Create a chart showing user growth,Declarative,34,Graph Generation
Plot a graph for sales data,Declarative,27,Graph Generation
Tell me about electricity,Declarative,25,Educational Bot
Create a chart showing temperature changes,Declarative,42,Graph Generation
I need to understand AI,Declarative,23,Educational Bot
What happened in the Industrial Revolution?,Interrogative,43,Knowledge Assistant
Tell me about the Industrial Revolution,Declarative,39,Knowledge Assistant
Visualize user growth as pie,Declarative,28,Graph Generation
Define AI,Declarative,9,Educational Bot
Show me information about geography,Imperative,35,Real-Time Translation UI
Describe cell division,Declarative,22,Educational Bot
Please Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,67,Code Rectification
What is the capital of Italy,Interrogative,28,Location Services UI
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
What's the Portuguese word for hello!!,Interrogative,38,Real-Time Translation UI
How to style a button in CSS,Interrogative,28,Code Generator
Generate code in Python to validate form,Declarative,40,Code Generator
Give me 10 minus 2,Declarative,18,Voice Calculator
Tell me a joke,Declarative,14,Chatbot Interface
Who discovered the computer,Interrogative,27,Knowledge Assistant
Who invented the airplane,Interrogative,25,Knowledge Assistant
Show me the museum,Imperative,18,Location Services UI
Explain cell division,Imperative,21,Educational Bot
nice to meet you,Declarative,16,Conversational UI
History of dinosaurs?,Conversational,21,Knowledge Assistant
Information on science,Declarative,22,Voice Calculator
Create a HTML script that a login API,Declarative,37,Code Generator
Code example for style a button in CSS,Declarative,38,Code Generator
What about geography,Interrogative,20,Voice Calculator
Show me information about technology,Imperative,36,Knowledge Assistant
There's an error in button { color red; },Declarative,41,Code Rectification
Capital of Japan,Declarative,16,Location Services UI
square root of 30 equals what,Declarative,29,Voice Calculator
Good morning,Conversational,12,Conversational UI
Describe the solar system,Declarative,25,Educational Bot
Recommend music,Declarative,15,Chatbot Interface
Compute square root of 87,Declarative,25,Voice Calculator
Nice to meet you,Declarative,16,Conversational UI
Describe photosynthesis,Declarative,23,Educational Bot
How do you say excuse me in Korean,Interrogative,34,Real-Time Translation UI
excuse me in Arabic,Declarative,19,Real-Time Translation UI
Navigate to the nearest hospital,Declarative,32,Location Services UI
History of space exploration,Conversational,28,Knowledge Assistant
Describe magnetism,Declarative,18,Educational Bot
Navigate to Times Square,Declarative,24,Location Services UI
What is 54 subtract 45,Interrogative,22,Voice Calculator
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
I need to understand evolution,Declarative,30,Educational Bot
How do you say no in Dutch,Interrogative,26,Real-Time Translation UI
Create a chart showing user growth,Declarative,34,Graph Generation
Who discovered the light bulb?,Interrogative,30,Knowledge Assistant
Information on math,Declarative,19,Code Generator
Share a quote with me,Declarative,21,Chatbot Interface
Good morning,Conversational,12,Conversational UI
Where is Central Park,Interrogative,21,Location Services UI
What's the Portuguese word for how are you,Interrogative,42,Real-Time Translation UI
I need to understand photosynthesis,Declarative,35,Educational Bot
Explain machine learning,Imperative,24,Educational Bot
Plot a graph for user growth,Declarative,28,Graph Generation
Tell me about DNA,Declarative,17,Educational Bot
Debug the following: try: pass except: pass,Declarative,43,Code Rectification
Translate where is the bathroom to Japanese,Imperative,43,Real-Time Translation UI
Hey,Conversational,3,Conversational UI
Graph sales data,Declarative,16,Graph Generation
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Who wrote Harry Potter,Interrogative,22,Knowledge Assistant
Suggest something,Declarative,17,Chatbot Interface
Could you What happened in the French Revolution,Declarative,48,Knowledge Assistant
Find the airport near me,Imperative,24,Location Services UI
Find the train station near me,Imperative,30,Location Services UI
Information on geography,Declarative,24,Voice Calculator
Navigate to Central Park,Declarative,24,Location Services UI
Describe democracy,Declarative,18,Educational Bot
Debug the following: try: pass except: pass,Declarative,43,Code Rectification
How do you say I love you in Russian,Interrogative,36,Real-Time Translation UI
Solve 10 add 3!!,Imperative,16,Voice Calculator
Help with understanding,Declarative,23,Graph Generation
Graph temperature changes,Declarative,25,Graph Generation
Create a Python script that style a button,Declarative,42,Code Generator
Show me Central Park,Imperative,20,Location Services UI
Who wrote 1984,Interrogative,14,Knowledge Assistant
What's the Russian word for maybe,Interrogative,33,Real-Time Translation UI
What happened in the French Revolution,Interrogative,38,Knowledge Assistant
Calculate 71 multiplied by 17,Imperative,29,Voice Calculator
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
Correct this HTML code: fetch(url).then(res => res.json,Declarative,55,Code Rectification
Plot a graph for user growth,Declarative,28,Graph Generation
There's an error in try: pass except: pass,Declarative,42,Code Rectification
Who invented penicillin,Interrogative,23,Knowledge Assistant
Visualize population growth as bar?,Declarative,35,Graph Generation
Find the mall near me,Imperative,21,Location Services UI
Find the answer to that question,Imperative,32,Voice Calculator
Generate code in CSS to compute factorial,Declarative,41,Code Generator
Hey,Conversational,3,Conversational UI
Tell me a fun fact,Declarative,18,Chatbot Interface
Find the result of 74 over 21,Imperative,29,Voice Calculator
Hi there,Conversational,8,Conversational UI
yes in Chinese,Declarative,14,Real-Time Translation UI
Teach me electricity,Declarative,20,Educational Bot
Share a story with me,Declarative,21,Chatbot Interface
Can you translate goodbye into Russian,Declarative,38,Real-Time Translation UI
Create a HTML script that compute factorial,Declarative,43,Code Generator
Teach me AI thanks,Declarative,18,Educational Bot
How does magnetism work,Interrogative,23,Educational Bot
Tell me about the French Revolution,Declarative,35,Knowledge Assistant
How does democracy work,Interrogative,23,Educational Bot
Explain AI,Imperative,10,Educational Bot
History of space exploration,Conversational,28,Knowledge Assistant
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Capital of China,Declarative,16,Location Services UI
Tell me more?,Declarative,13,Knowledge Assistant
Tell me more,Declarative,12,Real-Time Translation UI
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
Describe blockchain,Declarative,19,Educational Bot
Visualize sales data as scatter,Declarative,31,Graph Generation
What is the capital of Germany,Interrogative,30,Location Services UI
How does climate change work,Interrogative,28,Educational Bot
Nice to meet you,Declarative,16,Conversational UI
Convert nice to meet you from English to Italian,Declarative,48,Real-Time Translation UI
There's an error in button { color red; },Declarative,41,Code Rectification
Show me the beach,Imperative,17,Location Services UI
Find the answer to this problem,Imperative,31,Educational Bot
Give me 52 divided by 2,Declarative,23,Voice Calculator
Could you Find the mall near me,Declarative,31,Location Services UI
Who wrote To Kill a Mockingbird,Interrogative,31,Knowledge Assistant
Give me advice on career,Declarative,24,Chatbot Interface
Recommend a restaurant,Declarative,22,Chatbot Interface
When was the Industrial Revolution,Interrogative,34,Knowledge Assistant
translate maybe to arabic,Imperative,25,Real-Time Translation UI
Graph stock prices,Declarative,18,Graph Generation
Define cell division!!,Declarative,22,Educational Bot
Find Tokyo near me,Imperative,18,Location Services UI
There's an error in <div class='btn' onclick='alert('hi')'>,Declarative,59,Code Rectification
Compute square root of 41,Declarative,25,Voice Calculator
Recommend a movie,Declarative,17,Chatbot Interface
Describe cell division,Declarative,22,Educational Bot
Define cell division,Declarative,20,Educational Bot
Write JavaScript code for animate an element,Declarative,44,Code Generator
